School,Points
Old Dominion,49
Oklahoma State,33
Appalachian State,32
SMU,25
Sacramento State,20
Western Kentucky,20
Troy,18
Virginia Tech,18
Missouri,18
South Alabama,17
California,17
Southern Miss,16
Bowling Green,16
Western Michigan,16
Wagner,16
UAB,15
Arizona State,15
Central Michigan,15
,15
Jackson State,15
Toledo,15
Eastern Michigan,14
North Carolina State,8
San Jose State,8
Florida State,7
William & Mary,7
Stephen F. Austin,7
New Mexico,6
Rutgers,6
Princeton,6
Liberty,6
Kennesaw State,5
Wingate,5
Tennessee-Martin,5
Louisiana,5
Ball State,5
Charlotte,5
